idx,timestamp,u0,u1,u3,u4,u6,throttle,aileron,elevator,rudder,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,acc_b_x,acc_b_y,acc_b_z,ang_acc_b_x,ang_acc_b_y,ang_acc_b_z,aux1
0,30.0,0,0,0,0,0,0.0,0,1.0,0,7.53605,0,0.39024967,0.9820608837197891,0.0,0.18856410227693626,0.0,0,3.2132557e-05,0,3.6332372491927702,0,-9.112605567333725,0,6.897624113719107e-06,0,1
1,30.029999999999998,0,0,0,0,0,0.0,0,0.99935,0,7.5360465,0,0.39023703,0.9820607938053068,0.0,0.1885645705600358,0.0,0,2.5538196e-05,0,3.6333151837153763,0,-9.112814839592268,0,-0.00020777466924088873,0,1
2,30.06,0,0,0,0,0,0.0,0,0.9987,0,7.536042,0,0.39021835,0.9820607207496255,0.0,0.1885649510400226,0.0,0,1.2503674e-05,0,3.6333756472026413,0,-9.113007026286953,0,-0.0004104739831449208,0,1
3,30.09,0,0,0,0,0,0.0,0,0.99805,0,7.536037,0,0.39019436,0.9820606842217295,0.0,0.1885651412800054,0.0,0,-6.6118187e-06,0,3.6334172506594986,0,-9.113181221992892,0,-0.0006017214623307645,0,1
4,30.119999999999997,0,0,0,0,0,0.0,0,0.9974,0,7.536031,0,0.39016587,0.9820607038906012,0.0,0.18856503884309248,0.0,0,-3.1464722e-05,0,3.633437715053779,0,-9.113334844226443,0,-0.0007820111767175436,0,1
5,30.15,0,0,0,0,0,0.0,0,0.99675,0,7.536023,0,0.39013374,0.9820607938053068,0.0,0.1885645705600358,0.0,0,-6.172631e-05,0,3.6334359628821726,0,-9.11346627727107,0,-0.0009518873178604323,0,1
6,30.18,0,0,0,0,0,0.0,0,0.9961,0,7.5360146,0,0.3900989,0.9820609680144134,0.0,0.18856366326149152,0.0,0,-9.708416e-05,0,3.6334106930834458,0,-9.113572422177993,0,-0.0011118660228614805,0,1
7,30.209999999999997,0,0,0,0,0,0.0,0,0.99545,0,7.5360045,0,0.39006227,0.9820612433754854,0.0,0.18856222914410936,0.0,0,-0.00013724135,0,3.6333622427035923,0,-9.113655817433017,0,-0.0012624363402308205,0,1
8,30.24,0,0,0,0,0,0.0,0,0.9948,0,7.535993,0,0.39002484,0.9820616311252807,0.0,0.1885602096720119,0.0,0,-0.00018191563,0,3.6332897250963283,0,-9.113714466944202,0,-0.0014040620365507446,0,1
9,30.27,0,0,0,0,0,0.0,0,0.99415,0,7.53598,0,0.38998756,0.9820621453088219,0.0,0.18855753167517464,0.0,0,-0.00023083866,0,3.633192972455021,0,-9.11374799594355,0,-0.0015372333668600096,0,1
10,30.299999999999997,0,0,0,0,0,0.0,0,0.9935,0,7.535966,0,0.38995138,0.9820627971594257,0.0,0.18855413661705944,0.0,0,-0.0002837568,0,3.633072180352111,0,-9.113756216490748,0,-0.0016623645459286252,0,1
11,30.33,0,0,0,0,0,0.0,0,0.99285,0,7.53595,0,0.38991728,0.9820636007177242,0.0,0.18854995132679886,0.0,0,-0.00034042884,0,3.632926714554073,0,-9.113739393553058,0,-0.0017798481649087803,0,1
12,30.36,0,0,0,0,0,0.0,0,0.9922,0,7.535933,0,0.38988626,0.9820645644022306,0.0,0.1885449319007463,0.0,0,-0.00040062537,0,3.6327569932322312,0,-9.113696633831912,0,-0.0018901324561438077,0,1
13,30.39,0,0,0,0,0,0.0,0,0.99155,0,7.535915,0,0.38985926,0.9820656966285073,0.0,0.18853903443468878,0.0,0,-0.0004641304,0,3.6325640918470117,0,-9.113629448485877,0,-0.001993617300801837,0,1
14,30.419999999999998,0,0,0,0,0,0.0,0,0.9909,0,7.535896,0,0.38983715,0.9820670086181326,0.0,0.1885322003898348,0.0,0,-0.00053073996,0,3.632348472147715,0,-9.113539350003446,0,-0.0020906562021430508,0,1
15,30.45,0,0,0,0,0,0.0,0,0.99025,0,7.535876,0,0.3898208,0.9820685087792518,0.0,0.18852438586054776,0.0,0,-0.0006002606,0,3.6321105136096308,0,-9.11342668544611,0,-0.00218160972148797,0,1
16,30.48,0,0,0,0,0,0.0,0,0.9896,0,7.535856,0,0.38981113,0.982070205515762,0.0,0.18851554694037587,0.0,0,-0.00067250984,0,3.6318509400446204,0,-9.113292347479517,0,-0.002266820330103727,0,1
17,30.509999999999998,0,0,0,0,0,0.0,0,0.98895,0,7.5358353,0,0.38980883,0.9820721072268636,0.0,0.18850563972196627,0.0,0,-0.00074731535,0,3.63157080678456,0,-9.113138488833394,0,-0.0023465609873049103,0,1
18,30.54,0,0,0,0,0,0.0,0,0.9883,0,7.5358152,0,0.38981473,0.982074219497804,0.0,0.18849463493102156,0.0,0,-0.00082451303,0,3.6312701475961977,0,-9.112963691921994,0,-0.002421192985394982,0,1
19,30.57,0,0,0,0,0,0.0,0,0.98765,0,7.5357957,0,0.38982952,0.9820765507175113,0.0,0.18848248865821848,0.0,0,-0.00090394967,0,3.630950546840839,0,-9.112773025809815,0,-0.002490956724483447,0,1
20,30.599999999999998,0,0,0,0,0,0.0,0,0.987,0,7.5357766,0,0.38985386,0.982079106460452,0.0,0.18846917162719215,0.0,0,-0.0009854792,0,3.6306116870581624,0,-9.112563986321687,0,-0.0025561561210709,0,1
21,30.63,0,0,0,0,0,0.0,0,0.98635,0,7.535759,0,0.38988847,0.9820818922953873,0.0,0.18845465456048394,0.0,0,-0.0010689647,0,3.630255106349636,0,-9.11233932015206,0,-0.0026170296282182677,0,1
22,30.66,0,0,0,0,0,0.0,0,0.9857,0,7.5357428,0,0.38993385,0.9820849137850188,0.0,0.1884389081794739,0.0,0,-0.0011542763,0,3.6298813501827194,0,-9.1121005703961,0,-0.0026738025868468683,0,1
23,30.689999999999998,0,0,0,0,0,0.0,0,0.98505,0,7.535729,0,0.38999063,0.9820881764856274,0.0,0.18842190320431182,0.0,0,-0.0012412911,0,3.6294909177235084,0,-9.1118476126176,0,-0.002726714598374939,0,1
24,30.72,0,0,0,0,0,0.0,0,0.9844,0,7.5357175,0,0.39005923,0.9820916859467023,0.0,0.1884036103538464,0.0,0,-0.0013298931,0,3.6290851729450866,0,-9.11158489485138,0,-0.002775992078828559,0,1
25,30.75,0,0,0,0,0,0.0,0,0.98375,0,7.5357094,0,0.39014015,0.9820954449034203,0.0,0.18838401497991566,0.0,0,-0.0014199736,0,3.6286642159463804,0,-9.11131063743468,0,-0.0028217999387780074,0,1
26,30.779999999999998,0,0,0,0,0,0.0,0,0.9831,0,7.5357046,0,0.39023376,0.9820994560846467,0.0,0.18836310243314972,0.0,0,-0.0015114283,0,3.628229214951696,0,-9.111028704897288,0,-0.0028643695965071764,0,1
27,30.81,0,0,0,0,0,0.0,0,0.98245,0,7.535704,0,0.39034042,0.9821037250192368,0.0,0.18834084342844815,0.0,0,-0.0016041601,0,3.627780609830976,0,-9.11073850366686,0,-0.0029038204035886197,0,1
28,30.84,0,0,0,0,0,0.0,0,0.9818,0,7.535708,0,0.39046046,0.9821082572279343,0.0,0.18831720867915866,0.0,0,-0.0016980753,0,3.627318873612608,0,-9.110442741980764,0,-0.002940365684307932,0,1
29,30.869999999999997,0,0,0,0,0,0.0,0,0.98115,0,7.535717,0,0.39059418,0.9821130526114199,0.0,0.18829219816625015,0.0,0,-0.001793087,0,3.6268444086498692,0,-9.110141415782726,0,-0.0029741073587690463,0,1
30,30.9,0,0,0,0,0,0.0,0,0.9805,0,7.535732,0,0.3907418,0.9821181166753513,0.0,0.1882657826001874,0.0,0,-0.0018891109,0,3.6263578733329647,0,-9.109836676847994,0,-0.0030052177407322647,0,1
