idx,timestamp,u0,u1,u3,u4,u6,throttle,aileron,elevator,rudder,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,acc_b_x,acc_b_y,acc_b_z,ang_acc_b_x,ang_acc_b_y,ang_acc_b_z,aux1,landed
0,30.0,0,0,0,0,0,0.0,0,1.0,0,7.53605,0,0.39024967,0.9820608837197892,0.0,0.1885641022769362,0.0,0,3.2132557e-05,0,3.63323724919277,0,-9.112605567333723,0,6.897624113719107e-06,0,1,0
1,30.03,0,0,0,0,0,0.0,0,0.99935,0,7.5360465,0,0.39023703,0.9820607938053068,0.0,0.1885645705600358,0.0,0,2.5538196e-05,0,3.633315183715376,0,-9.112814839592268,0,-0.0002077746692408,0,1,0
2,30.06,0,0,0,0,0,0.0,0,0.9987,0,7.536042,0,0.39021835,0.9820607207496256,0.0,0.1885649510400226,0.0,0,1.2503674e-05,0,3.633375647202641,0,-9.113007026286953,0,-0.0004104739831449,0,1,0
3,30.09,0,0,0,0,0,0.0,0,0.99805,0,7.536037,0,0.39019436,0.9820606842217297,0.0,0.1885651412800054,0.0,0,-6.6118187e-06,0,3.6334172506594986,0,-9.113181221992892,0,-0.0006017214623307,0,1,0
4,30.12,0,0,0,0,0,0.0,0,0.9974,0,7.536031,0,0.39016587,0.9820607038906012,0.0,0.1885650388430924,0.0,0,-3.1464722e-05,0,3.633437715053779,0,-9.113334844226443,0,-0.0007820111767175,0,1,0
5,30.15,0,0,0,0,0,0.0,0,0.99675,0,7.536023,0,0.39013374,0.9820607938053068,0.0,0.1885645705600358,0.0,0,-6.172631e-05,0,3.6334359628821726,0,-9.11346627727107,0,-0.0009518873178604,0,1,0
6,30.18,0,0,0,0,0,0.0,0,0.9961,0,7.5360146,0,0.3900989,0.9820609680144134,0.0,0.1885636632614915,0.0,0,-9.708416e-05,0,3.6334106930834458,0,-9.113572422177992,0,-0.0011118660228614,0,1,0
7,30.21,0,0,0,0,0,0.0,0,0.99545,0,7.5360045,0,0.39006227,0.9820612433754854,0.0,0.1885622291441093,0.0,0,-0.00013724135,0,3.633362242703592,0,-9.113655817433015,0,-0.0012624363402308,0,1,0
8,30.24,0,0,0,0,0,0.0,0,0.9948,0,7.535993,0,0.39002484,0.9820616311252808,0.0,0.1885602096720119,0.0,0,-0.00018191563,0,3.633289725096328,0,-9.113714466944202,0,-0.0014040620365507,0,1,0
9,30.27,0,0,0,0,0,0.0,0,0.99415,0,7.53598,0,0.38998756,0.982062145308822,0.0,0.1885575316751746,0.0,0,-0.00023083866,0,3.633192972455021,0,-9.11374799594355,0,-0.00153723336686,0,1,0
10,30.3,0,0,0,0,0,0.0,0,0.9935,0,7.535966,0,0.38995138,0.9820627971594256,0.0,0.1885541366170594,0.0,0,-0.0002837568,0,3.633072180352111,0,-9.113756216490748,0,-0.0016623645459286,0,1,0
11,30.33,0,0,0,0,0,0.0,0,0.99285,0,7.53595,0,0.38991728,0.9820636007177242,0.0,0.1885499513267988,0.0,0,-0.00034042884,0,3.632926714554073,0,-9.113739393553058,0,-0.0017798481649087,0,1,0
12,30.36,0,0,0,0,0,0.0,0,0.9922,0,7.535933,0,0.38988626,0.9820645644022306,0.0,0.1885449319007463,0.0,0,-0.00040062537,0,3.6327569932322312,0,-9.113696633831912,0,-0.0018901324561438,0,1,0
13,30.39,0,0,0,0,0,0.0,0,0.99155,0,7.535915,0,0.38985926,0.9820656966285072,0.0,0.1885390344346887,0.0,0,-0.0004641304,0,3.632564091847012,0,-9.113629448485876,0,-0.0019936173008018,0,1,0
14,30.42,0,0,0,0,0,0.0,0,0.9909,0,7.535896,0,0.38983715,0.9820670086181326,0.0,0.1885322003898348,0.0,0,-0.00053073996,0,3.632348472147715,0,-9.113539350003446,0,-0.002090656202143,0,1,0
15,30.45,0,0,0,0,0,0.0,0,0.99025,0,7.535876,0,0.3898208,0.9820685087792518,0.0,0.1885243858605477,0.0,0,-0.0006002606,0,3.632110513609631,0,-9.11342668544611,0,-0.0021816097214879,0,1,0
16,30.48,0,0,0,0,0,0.0,0,0.9896,0,7.535856,0,0.38981113,0.982070205515762,0.0,0.1885155469403758,0.0,0,-0.00067250984,0,3.631850940044621,0,-9.113292347479517,0,-0.0022668203301037,0,1,0
17,30.51,0,0,0,0,0,0.0,0,0.98895,0,7.5358353,0,0.38980883,0.9820721072268636,0.0,0.1885056397219662,0.0,0,-0.00074731535,0,3.63157080678456,0,-9.113138488833394,0,-0.0023465609873049,0,1,0
18,30.54,0,0,0,0,0,0.0,0,0.9883,0,7.5358152,0,0.38981473,0.982074219497804,0.0,0.1884946349310215,0.0,0,-0.00082451303,0,3.6312701475961977,0,-9.112963691921994,0,-0.0024211929853949,0,1,0
19,30.57,0,0,0,0,0,0.0,0,0.98765,0,7.5357957,0,0.38982952,0.9820765507175112,0.0,0.1884824886582184,0.0,0,-0.00090394967,0,3.630950546840839,0,-9.112773025809815,0,-0.0024909567244834,0,1,0
20,30.6,0,0,0,0,0,0.0,0,0.987,0,7.5357766,0,0.38985386,0.982079106460452,0.0,0.1884691716271921,0.0,0,-0.0009854792,0,3.6306116870581615,0,-9.112563986321687,0,-0.0025561561210709,0,1,0
21,30.63,0,0,0,0,0,0.0,0,0.98635,0,7.535759,0,0.38988847,0.9820818922953872,0.0,0.1884546545604839,0.0,0,-0.0010689647,0,3.630255106349636,0,-9.11233932015206,0,-0.0026170296282182,0,1,0
22,30.66,0,0,0,0,0,0.0,0,0.9857,0,7.5357428,0,0.38993385,0.9820849137850188,0.0,0.1884389081794739,0.0,0,-0.0011542763,0,3.62988135018272,0,-9.1121005703961,0,-0.0026738025868468,0,1,0
23,30.69,0,0,0,0,0,0.0,0,0.98505,0,7.535729,0,0.38999063,0.9820881764856274,0.0,0.1884219032043118,0.0,0,-0.0012412911,0,3.629490917723509,0,-9.1118476126176,0,-0.0027267145983749,0,1,0
24,30.72,0,0,0,0,0,0.0,0,0.9844,0,7.5357175,0,0.39005923,0.9820916859467024,0.0,0.1884036103538464,0.0,0,-0.0013298931,0,3.629085172945087,0,-9.11158489485138,0,-0.0027759920788285,0,1,0
25,30.75,0,0,0,0,0,0.0,0,0.98375,0,7.5357094,0,0.39014015,0.9820954449034204,0.0,0.1883840149799156,0.0,0,-0.0014199736,0,3.628664215946381,0,-9.11131063743468,0,-0.002821799938778,0,1,0
26,30.78,0,0,0,0,0,0.0,0,0.9831,0,7.5357046,0,0.39023376,0.9820994560846468,0.0,0.1883631024331497,0.0,0,-0.0015114283,0,3.628229214951696,0,-9.111028704897288,0,-0.0028643695965071,0,1,0
27,30.81,0,0,0,0,0,0.0,0,0.98245,0,7.535704,0,0.39034042,0.9821037250192368,0.0,0.1883408434284481,0.0,0,-0.0016041601,0,3.627780609830976,0,-9.11073850366686,0,-0.0029038204035886,0,1,0
28,30.84,0,0,0,0,0,0.0,0,0.9818,0,7.535708,0,0.39046046,0.9821082572279344,0.0,0.1883172086791586,0.0,0,-0.0016980753,0,3.627318873612608,0,-9.110442741980764,0,-0.0029403656843079,0,1,0
29,30.87,0,0,0,0,0,0.0,0,0.98115,0,7.535717,0,0.39059418,0.98211305261142,0.0,0.1882921981662501,0.0,0,-0.001793087,0,3.626844408649869,0,-9.110141415782726,0,-0.002974107358769,0,1,0
30,30.9,0,0,0,0,0,0.0,0,0.9805,0,7.535732,0,0.3907418,0.9821181166753512,0.0,0.1882657826001874,0.0,0,-0.0018891109,0,3.6263578733329647,0,-9.109836676847994,0,-0.0030052177407322,0,1,0
31,30.93,0,0,0,0,0,0.0,0,0.97985,0,7.535753,0,0.3909035,0.9821234521113256,0.0,0.1882379473244771,0.0,0,-0.0019860682,0,3.625859467351236,0,-9.109529087789936,0,-0.0030338345971742,0,1,0
32,30.96,0,0,0,0,0,0.0,0,0.9792,0,7.5357804,0,0.39107946,0.9821290587986382,0.0,0.1882086923160061,0.0,0,-0.002083884,0,3.625350454039799,0,-9.10922092571067,0,-0.003060063563657,0,1,0
33,30.99,0,0,0,0,0,0.0,0,0.97855,0,7.5358152,0,0.39126977,0.9821349422185688,0.0,0.1881779882805864,0.0,0,-0.002182487,0,3.624830492679228,0,-9.108912680003474,0,-0.0030840046636033,0,1,0
34,31.02,0,0,0,0,0,0.0,0,0.9779,0,7.535858,0,0.39147457,0.9821411022352264,0.0,0.1881458351922101,0.0,0,-0.002281808,0,3.624299519346858,0,-9.108604290574894,0,-0.0031057788654993,0,1,0
35,31.05,0,0,0,0,0,0.0,0,0.97725,0,7.535909,0,0.3916939,0.9821475415093972,0.0,0.1881122183885109,0.0,0,-0.0023817825,0,3.62375900693646,0,-9.108298604814111,0,-0.003125499456543,0,1,0
